file,status,action,reason,duration,start,end,trimmed_duration,trim_head,trim_tail,threshold
sophyra.mp4,ok,trimmed,trim-detected,13.479,1.457,10.096,8.639,1.457,3.383,33.60
soulhunter.mp4,ok,trimmed,trim-detected,10.633,0.950,10.050,9.100,0.950,0.583,87.60
sovereign.mp4,ok,trimmed,trim-detected,12.033,0.450,9.550,9.100,0.450,2.483,25.00
sovereignfrostveil.mp4,ok,trimmed,trim-detected,12.650,0.950,10.550,9.600,0.950,2.100,92.80
spectraflow.mp4,ok,trimmed,trim-detected,10.933,0.000,9.550,9.550,0.000,1.383,25.00
spectre.mp4,ok,trimmed,trim-detected,15.742,2.977,13.673,10.696,2.977,2.069,25.00
stargazer.mp4,ok,trimmed,trim-detected,15.038,1.527,10.566,9.039,1.527,4.472,33.20
starlight.mp4,ok,trimmed,trim-detected,9.267,0.450,8.550,8.100,0.450,0.717,25.00
starlightkunzite.mp4,ok,trimmed,trim-detected,11.345,1.452,10.561,9.109,1.452,0.784,125.60
starrider.mp4,ok,trimmed,trim-detected,7.584,2.905,6.944,4.040,2.905,0.639,98.00
starridersnowflake.mp4,ok,trimmed,trim-detected,12.600,0.450,12.550,12.100,0.450,0.050,25.00
starriderstarfish.mp4,ok,trimmed,trim-detected,11.700,1.950,9.550,7.600,1.950,2.150,86.40
starscourge.mp4,ok,trimmed,trim-detected,12.647,0.937,10.414,9.477,0.937,2.233,188.00
starscourgeradiant.mp4,ok,trimmed,trim-detected,10.800,0.450,9.550,9.100,0.450,1.250,25.00
stormal.mp4,ok,trimmed,trim-detected,9.086,0.947,8.521,7.575,0.947,0.565,25.20
stormalhurricane.mp4,ok,trimmed,trim-detected,12.267,0.450,9.550,9.100,0.450,2.717,25.00
symbiosis.mp4,ok,trimmed,trim-detected,12.818,0.966,10.211,9.245,0.966,2.607,225.60
symphony.mp4,ok,trimmed,trim-detected,12.500,0.950,10.050,9.100,0.950,2.450,60.80
symphonybloomed.mp4,ok,trimmed,trim-detected,9.724,0.963,9.724,8.761,0.963,0.000,60.80
terror.mp4,ok,trimmed,trim-detected,15.183,1.950,13.550,11.600,1.950,1.633,25.00
therma.mp4,ok,trimmed,trim-detected,16.100,1.950,11.550,9.600,1.950,4.550,25.60
twilight.mp4,ok,trimmed,trim-detected,12.302,0.980,9.837,8.857,0.980,2.465,152.40
twilightiridescentmemory.mp4,ok,trimmed,trim-detected,11.733,0.450,9.550,9.100,0.450,2.183,25.00
twilightwitheringgrace.mp4,ok,trimmed,trim-detected,12.433,0.450,10.050,9.600,0.450,2.383,25.00
undead.mp4,ok,trimmed,trim-detected,9.637,2.450,7.050,4.600,2.450,2.587,40.80
undeaddevil.mp4,ok,trimmed,trim-detected,14.877,1.903,13.233,11.330,1.903,1.644,39.20
undefined.mp4,ok,trimmed,trim-detected,12.916,0.939,9.941,9.002,0.939,2.975,25.00
undefineddefined.mp4,ok,trimmed,trim-detected,7.700,0.950,4.550,3.600,0.950,3.150,75.60
unknown.mp4,ok,trimmed,trim-detected,17.433,4.950,11.050,6.100,4.950,6.383,25.00
velocity.mp4,ok,trimmed,trim-detected,10.617,0.950,10.050,9.100,0.950,0.567,58.80
verdict.mp4,ok,trimmed,trim-detected,11.583,1.450,10.550,9.100,1.450,1.033,43.20
virtual.mp4,ok,trimmed,trim-detected,13.742,0.958,10.131,9.173,0.958,3.611,85.60
virtualfatalerror.mp4,ok,trimmed,trim-detected,13.560,0.950,10.550,9.600,0.950,3.010,104.80
virtualfullcontrol.mp4,ok,trimmed,trim-detected,15.367,1.954,11.074,9.120,1.954,4.293,123.60
virtualworldwide.mp4,ok,trimmed,trim-detected,10.533,0.950,10.050,9.100,0.950,0.483,42.00
vital.mp4,ok,trimmed,trim-detected,10.633,0.450,9.550,9.100,0.450,1.083,25.00
warlock.mp4,ok,trimmed,trim-detected,14.555,0.937,12.385,11.448,0.937,2.170,66.00
watermelon.mp4,ok,trimmed,trim-detected,12.633,0.450,12.633,12.183,0.450,0.000,25.00
watt.mp4,ok,trimmed,trim-detected,9.783,0.950,9.050,8.100,0.950,0.733,57.20
werewolf.mp4,ok,trimmed,trim-detected,13.418,0.000,11.399,11.399,0.000,2.019,25.00
winterfantasy.mp4,ok,trimmed,trim-detected,15.900,0.450,9.550,9.100,0.450,6.350,25.00
wintergarden.mp4,ok,trimmed,trim-detected,22.633,2.950,21.050,18.100,2.950,1.583,164.40
wonderland.mp4,ok,trimmed,trim-detected,15.800,0.450,9.550,9.100,0.450,6.250,25.00
workshop.mp4,ok,trimmed,trim-detected,12.483,3.950,9.550,5.600,3.950,2.933,25.00
wraithlight.mp4,ok,trimmed,trim-detected,13.317,0.934,9.889,8.955,0.934,3.428,48.40
zeus.mp4,ok,trimmed,trim-detected,14.058,0.933,9.885,8.951,0.933,4.173,142.40
